,ASTURIAS,HIDROPANTASMA,LARREYNAGA,VIRGEN,HORA,Date
384,925.41,841.63,439.83,954.54,0,17/3/2015
385,925.4,841.65,439.82,954.54,1,17/3/2015
386,925.39,841.67,439.81,954.54,2,17/3/2015
387,925.38,841.7,439.81,954.54,3,17/3/2015
388,925.38,841.72,439.8,954.54,4,17/3/2015
389,925.38,841.72,439.82,954.54,5,17/3/2015
390,925.39,841.73,439.83,954.54,6,17/3/2015
391,925.39,841.753,439.83,954.54,7,17/3/2015
392,925.39,841.766,439.84,954.54,8,17/3/2015
393,925.39,841.783,439.85,954.53,9,17/3/2015
394,925.39,841.979,439.85,954.53,10,17/3/2015
395,925.39,841.773,439.85,954.53,11,17/3/2015
396,925.39,841.75,439.86,954.52,12,17/3/2015
397,925.39,841.726,439.86,954.52,13,17/3/2015
398,925.39,841.702,439.86,954.52,14,17/3/2015
399,925.39,841.678,439.87,954.52,15,17/3/2015
400,925.39,841.655,439.88,954.52,16,17/3/2015
401,925.39,841.63,439.88,954.52,17,17/3/2015
402,925.4,841.6,439.88,954.52,18,17/3/2015
403,925.4,841.58,439.9,954.52,19,17/3/2015
404,925.4,841.55,439.9,954.52,20,17/3/2015
405,925.4,841.57,439.91,954.52,21,17/3/2015
406,925.4,841.58,439.93,954.52,22,17/3/2015
407,925.4,841.6,439.94,954.52,23,17/3/2015
408,925.4,841.62,439.95,954.52,0,18/3/2015
409,925.39,841.64,439.94,954.52,1,18/3/2015
410,925.38,841.62,439.94,954.52,2,18/3/2015
411,925.37,841.683,439.92,954.52,3,18/3/2015
412,925.37,841.704,439.9,954.52,4,18/3/2015
413,925.37,841.727,439.89,954.52,5,18/3/2015
414,925.38,841.77,439.88,954.52,6,18/3/2015
415,925.38,841.77,439.86,954.52,7,18/3/2015
416,925.38,841.8,439.85,954.52,8,18/3/2015
417,925.39,841.825,439.83,954.51,9,18/3/2015
418,925.39,841.843,439.81,954.51,10,18/3/2015
419,925.39,841.828,439.8,954.51,11,18/3/2015
420,925.39,841.81,439.79,954.51,12,18/3/2015
421,925.39,841.79,439.79,954.51,13,18/3/2015
